State,Arrival_Date,Min Price,Max Price,Modal Price
Chattisgarh,2010-02-07,2000.0,2500.0,2200.0
Chattisgarh,2010-04-15,2090.0,2090.0,2090.0
Chattisgarh,2010-11-29,1500.0,1500.0,1500.0
Chattisgarh,2010-12-04,1800.0,1800.0,1800.0
Chattisgarh,2011-01-08,6400.0,6400.0,6400.0
Chattisgarh,2011-02-22,5750.0,5750.0,5750.0
Chattisgarh,2011-03-31,5300.0,5350.0,0.0
Chattisgarh,2011-12-13,2000.0,2000.0,2000.0
Chattisgarh,2012-01-31,2000.0,2000.0,2000.0
Chattisgarh,2012-02-21,2000.0,2000.0,2000.0
Chattisgarh,2012-02-22,2000.0,2000.0,2000.0
Chattisgarh,2012-02-29,2000.0,2000.0,2000.0
Chattisgarh,2012-03-21,2000.0,2000.0,2000.0
Chattisgarh,2012-03-28,2000.0,2000.0,2000.0
Chattisgarh,2012-03-31,2000.0,2000.0,2000.0
Chattisgarh,2012-04-30,2000.0,2000.0,2000.0
Chattisgarh,2012-05-15,2000.0,2000.0,2000.0
Chattisgarh,2012-06-28,2500.0,2500.0,2500.0
Chattisgarh,2012-06-29,8657.0,8657.0,8657.0
Chattisgarh,2012-11-03,7260.0,8800.0,7260.0
Chattisgarh,2012-11-30,2000.0,2000.0,2000.0
Gujarat,2010-01-02,1925.0,2000.0,1950.0
Gujarat,2010-01-16,1950.0,2300.0,2150.0
Gujarat,2010-01-22,1975.0,2075.0,2010.0
Gujarat,2010-01-25,1950.0,2200.0,2050.0
Gujarat,2010-01-27,2115.0,2145.0,2130.0
Gujarat,2010-01-28,1830.0,2105.0,1950.0
Gujarat,2010-01-29,2000.0,2110.0,2065.0
Gujarat,2010-01-30,1900.0,2025.0,2010.0
Gujarat,2010-02-02,1935.0,1970.0,1950.0
Gujarat,2010-02-13,1850.0,2000.0,1920.0
Gujarat,2010-02-15,1780.0,1970.0,1850.0
Gujarat,2010-02-19,1825.0,2050.0,1950.0
Gujarat,2010-02-23,1920.0,1980.0,1950.0
